genero,jornada,zona,estado_civil,ocupacion,nivel_de_formacion,medio_de_transporte,municipio_direccion,tipo_programa,programa,eps,edad,estrato,semestre_periodo,estrato_imputado,transporte_imputado,edad_imputada,anio_matricula,estado,desercion
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Básica secundaria,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA TECNICO LABORAL AUXILIAR ADMINISTRATIVO CON ENFASIS EN SISTEMAS,EPS Sura,20,3,2,0,0,0,2018.0,Graduado,0
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,29,2,2,0,0,0,2016.0,Graduado,0
Masculino,NOCHE,Rural,Soltero(a),Estudiante superior,Media,Transporte público,La Mesa,Tecnico Laboral,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,Sin registro,19,3,2,0,0,0,2021.0,Cancelado,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,SISBEN,21,2,1,0,0,0,2020.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Moto,Envigado,Tecnico Laboral,27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos),Nueva Promotora de Salud - Nueva EPS,20,2,1,0,0,0,2020.0,Inactivo,1
Masculino,DIURNA,Urbana - rural,Soltero(a),Estudiante superior,Media,Transporte público,Sabaneta,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),EPS Sura,24,2,2,0,0,0,2019.0,Inactivo,1
Femenino,MEDIA TÉCNICA,Urbana - rural,Soltero(a),Estudiante básica,Sin registro,Transporte público,Medellín,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,Suramericana,16,2,2,0,0,0,2020.0,Inactivo,0
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Media,Bicicleta,Medellín,Tecnico Laboral,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,Sin registro,20,3,1,0,0,0,2022.0,Activo,0
Femenino,NOCHE,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Tecnico Laboral,13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL,Sin registro,23,2,1,0,1,0,2021.0,Aplazamiento Semestre,0
Femenino,NOCHE,Urbana,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,14T-TÉCNICO LABORAL EN CONTABILIDAD,Salud Total EPS,26,3,2,0,0,0,2021.0,Inactivo,0
Masculino,NOCHE,Urbana,Soltero(a),Independiente,Media,A pie,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,22,2,1,0,0,0,2018.0,Inactivo,1
Masculino,NOCHE,Urbana,Casado(a),Empleado,Media,Automóvil,Envigado,Tecnico Laboral,18T-TÉCNICO LABORAL EN GASTRONOMÍA,EPS Sura,41,5,2,0,0,0,2021.0,Cancelado,1
Femenino,NOCHE,Urbana,Soltero(a),Independiente,Media,Moto,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,49,2,1,0,0,0,2018.0,Sancionado,1
Masculino,NOCHE,Urbana,Soltero(a),Sin registro,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,EPS Sura,63,3,2,0,1,0,2016.0,Cancelado,1
Masculino,NOCHE,Urbana,Soltero(a),Desempleado,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,28,3,1,0,0,0,2017.0,Graduado,0
Femenino,DIURNA,Rural,Soltero(a),Desempleado,Media,Transporte público,Envigado,Tecnico Laboral,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,EPS Sura,19,2,1,0,0,0,2022.0,Activo,0
